un,name
UN0004,PICRATE D’AMMONIUM sec ou humidifié avec moins de 10 % (masse) d’eau
UN0005,CARTOUCHES POUR ARMES avec charge d’éclatement
UN0006,CARTOUCHES POUR ARMES avec charge d’éclatement
UN0007,CARTOUCHES POUR ARMES avec charge d’éclatement
UN0009,"MUNITIONS INCENDIAIRES avec ou sans charge de dispersion, charge d’expulsion ou charge propulsive"
UN0010,"MUNITIONS INCENDIAIRES avec ou sans charge de dispersion, charge d’expulsion ou charge propulsive"
UN0012,"CARTOUCHES À PROJECTILE INERTE POUR ARMES;
ou
CARTOUCHES POUR ARMES DE PETIT CALIBRE"
UN0014,"CARTOUCHES À BLANC POUR ARMES;
CARTOUCHES À BLANC POUR ARMES DE PETIT CALIBRE;
ou
CARTOUCHES À BLANC POUR OUTILS"
UN0015,"MUNITIONS FUMIGÈNES avec ou sans charge de dispersion, charge d’expulsion ou charge propulsive"
UN0016,"MUNITIONS FUMIGÈNES avec ou sans charge de dispersion, charge d’expulsion ou charge propulsive"
UN0018,"MUNITIONS LACRYMOGÈNES avec charge de dispersion, charge d’expulsion ou charge propulsive"
UN0019,"MUNITIONS LACRYMOGÈNES avec charge de dispersion, charge d’expulsion ou charge propulsive"
UN0020,"MUNITIONS TOXIQUES avec charge de dispersion, charge d’expulsion ou charge propulsive"
UN0021,"MUNITIONS TOXIQUES avec charge de dispersion, charge d’expulsion ou charge propulsive"
UN0027,POUDRE NOIRE sous forme de grains ou de pulvérin
UN0028,"POUDRE NOIRE COMPRIMÉE;
ou
POUDRE NOIRE EN COMPRIMÉS"
UN0029,DÉTONATEURS de mine (de sautage) NON ÉLECTRIQUES
UN0030,DÉTONATEURS de mine (de sautage) ÉLECTRIQUES
UN0033,BOMBES avec charge d’éclatement
UN0034,BOMBES avec charge d’éclatement
UN0035,BOMBES avec charge d’éclatement
UN0037,BOMBES PHOTO-ÉCLAIR
UN0038,BOMBES PHOTO-ÉCLAIR
UN0039,BOMBES PHOTO-ÉCLAIR
UN0042,RENFORÇATEURS sans détonateur
UN0043,CHARGES DE DISPERSION
UN0044,AMORCES À PERCUSSION
UN0048,CHARGES DE DÉMOLITION
UN0049,CARTOUCHES-ÉCLAIR
UN0050,CARTOUCHES-ÉCLAIR
