un,name
UN0004,"AMMONIUM PICRATE dry or wetted with less than 10% water, by mass"
UN0005,CARTRIDGES FOR WEAPONS with bursting charge
UN0006,CARTRIDGES FOR WEAPONS with bursting charge
UN0007,CARTRIDGES FOR WEAPONS with bursting charge
UN0009,"AMMUNITION, INCENDIARY with or without burster, expelling charge or propelling charge"
UN0010,"AMMUNITION, INCENDIARY with or without burster, expelling charge or propelling charge"
UN0012,"CARTRIDGES FOR WEAPONS, INERT PROJECTILE;
or
CARTRIDGES, SMALL ARMS"
UN0014,"CARTRIDGES FOR WEAPONS, BLANK;
CARTRIDGES, SMALL ARMS, BLANK;
or
CARTRIDGES FOR TOOLS, BLANK"
UN0015,"AMMUNITION, SMOKE with or without burster, expelling charge or propelling charge"
UN0016,"AMMUNITION, SMOKE with or without burster, expelling charge or propelling charge"
UN0018,"AMMUNITION, TEAR-PRODUCING with burster, expelling charge or propelling charge"
UN0019,"AMMUNITION, TEAR-PRODUCING with burster, expelling charge or propelling charge"
UN0020,"AMMUNITION, TOXIC with burster, expelling charge or propelling charge"
UN0021,"AMMUNITION, TOXIC with burster, expelling charge or propelling charge"
UN0027,"BLACK POWDER granular or as a meal;
or
GUNPOWDER granular or as a meal"
UN0028,"BLACK POWDER, COMPRESSED;
BLACK POWDER, IN PELLETS;
GUNPOWDER, COMPRESSED;
or
GUNPOWDER, IN PELLETS"
UN0029,"DETONATORS, NON-ELECTRIC for blasting"
UN0030,"DETONATORS, ELECTRIC for blasting"
UN0033,BOMBS with bursting charge
UN0034,BOMBS with bursting charge
UN0035,BOMBS with bursting charge
UN0037,"BOMBS, PHOTO-FLASH"
UN0038,"BOMBS, PHOTO-FLASH"
UN0039,"BOMBS, PHOTO-FLASH"
UN0042,BOOSTERS without detonator
UN0043,"BURSTERS, explosive"
UN0044,"PRIMERS, CAP TYPE"
UN0048,"CHARGES, DEMOLITION"
UN0049,"CARTRIDGES, FLASH"
UN0050,"CARTRIDGES, FLASH"
UN0054,"CARTRIDGES, SIGNAL"
UN0055,"CASES, CARTRIDGE, EMPTY, WITH PRIMER"
UN0056,"CHARGES, DEPTH"
UN0059,"CHARGES, SHAPED without detonator"
UN0060,"CHARGES, SUPPLEMENTARY, EXPLOSIVE"
UN0065,"CORD, DETONATING, flexible"
UN0066,"CORD, IGNITER"
UN0070,"CUTTERS, CABLE, EXPLOSIVE"
UN0072,"CYCLONITE, WETTED with not less than 15% water, by mass;
CYCLOTRIMETHYLENETRINITRAMINE, WETTED with not less than 15% water, by mass;
HEXOGEN, WETTED with not less than 15% water, by mass;
or
RDX, WETTED with not less than 15% water, by mass"
UN0073,DETONATORS FOR AMMUNITION
UN0074,"DIAZODINITROPHENOL, WETTED with not less than 40% water, or mixture of alcohol and water, by mass"
UN0075,"DIETHYLENEGLYCOL DINITRATE, DESENSITIZED with not less than 25% non-volatile, water-insoluble phlegmatizer, by mass"
UN0076,"DINITROPHENOL, dry or wetted with less than 15% water, by mass"
UN0077,"DINITROPHENOLATES, alkali metals, dry or wetted with less than 15% water, by mass"
UN0078,"DINITRORESORCINOL, dry or wetted with less than 15% water, by mass"
UN0079,"HEXANITRODIPHENYLAMINE;
DIPICRYLAMINE;
or
HEXYL"
UN0081,"EXPLOSIVE, BLASTING, TYPE A"
UN0082,"EXPLOSIVE, BLASTING, TYPE B"
UN0083,"EXPLOSIVE, BLASTING, TYPE C"
UN0084,"EXPLOSIVE, BLASTING, TYPE D"
UN0092,"FLARES, SURFACE"
UN0093,"FLARES, AERIAL"
UN0094,FLASH POWDER
UN0099,"FRACTURING DEVICES, EXPLOSIVE without detonator, for oil wells"
UN0101,"FUSE, NON-DETONATING"
UN0102,"CORD, DETONATING, metal clad;
or
FUSE, DETONATING, metal clad"
UN0103,"FUSE, IGNITER, tubular, metal clad"
UN0104,"CORD, DETONATING, MILD EFFECT, metal clad;
or
FUSE, DETONATING, MILD EFFECT, metal clad"
UN0105,"FUSE, SAFETY"
UN0106,"FUZES, DETONATING"
UN0107,"FUZES, DETONATING"
UN0110,"GRENADES, PRACTICE, hand or rifle"
UN0113,"GUANYL NITROSAMINOGUANYLIDENE HYDRAZINE, WETTED with not less than 30% water, by mass"
UN0114,"GUANYL NITROSAMINOGUANYLTETRAZENE, WETTED with not less than 30% water, or mixture of alcohol and water, by mass;
or
TETRAZENE, WETTED with not less than 30% water, or mixture of alcohol and water, by mass"
UN0118,"HEXOLITE, dry or wetted with less than 15% water, by mass;
or
HEXOTOL, dry or wetted with less than 15% water, by mass"
UN0121,IGNITERS
UN0124,"JET PERFORATING GUNS, CHARGED, oil well, without detonator"
UN0129,"LEAD AZIDE, WETTED with not less than 20% water, or mixture of alcohol and water, by mass"
UN0130,"LEAD STYPHNATE, WETTED with not less than 20% water, or mixture of alcohol and water, by mass;
or
LEAD TRINITRORESORCINATE, WETTED with not less than 20% water, or mixture of alcohol and water, by mass"
UN0131,"LIGHTERS, FUSE"
UN0132,"DEFLAGRATING METAL SALTS OF AROMATIC NITRODERIVATIVES, N.O.S."
UN0133,"MANNITOL HEXANITRATE, WETTED with not less than 40% water, or mixture of alcohol and water, by mass;
or
NITROMANNITE, WETTED with not less than 40% water, or mixture of alcohol and water, by mass"
UN0135,"MERCURY FULMINATE, WETTED with not less than 20% water, or mixture of alcohol and water, by mass"
UN0136,MINES with bursting charge
UN0137,MINES with bursting charge
UN0138,MINES with bursting charge
