UN Number,Shipping Name and Description,English Shipping Name,French Shipping Name,Primary Class,Secondary Class,Packing Group,Special Provisions,6 (a) Explosive Limit and Limited Quantity Index,6 (b) Excepted Quantities,ERAP Index,Passenger Carrying Vessel Index,Road or Railway Passenger Carrying Vehicle Index
UN0004,"AMMONIUM PICRATE dry or wetted with less than 10% water, by mass::PICRATE D’AMMONIUM sec ou humidifié avec moins de 10 % (masse) d’eau","AMMONIUM PICRATE dry or wetted with less than 10% water, by mass",PICRATE D’AMMONIUM sec ou humidifié avec moins de 10 % (masse) d’eau,1.1,,II,,5,E0,75,10,Forbidden
UN0005,CARTRIDGES FOR WEAPONS with bursting charge::CARTOUCHES POUR ARMES avec charge d’éclatement,CARTRIDGES FOR WEAPONS with bursting charge,CARTOUCHES POUR ARMES avec charge d’éclatement,1.1,,II,,0,E0,75,Forbidden,Forbidden
UN0006,CARTRIDGES FOR WEAPONS with bursting charge::CARTOUCHES POUR ARMES avec charge d’éclatement,CARTRIDGES FOR WEAPONS with bursting charge,CARTOUCHES POUR ARMES avec charge d’éclatement,1.1,,II,,0,E0,75,10,Forbidden
UN0007,CARTRIDGES FOR WEAPONS with bursting charge::CARTOUCHES POUR ARMES avec charge d’éclatement,CARTRIDGES FOR WEAPONS with bursting charge,CARTOUCHES POUR ARMES avec charge d’éclatement,1.2,,II,,0,E0,75,Forbidden,Forbidden
UN0009,"AMMUNITION, INCENDIARY with or without burster, expelling charge or propelling charge::MUNITIONS INCENDIAIRES avec ou sans charge de dispersion, charge d’expulsion ou charge propulsive","AMMUNITION, INCENDIARY with or without burster, expelling charge or propelling charge","MUNITIONS INCENDIAIRES avec ou sans charge de dispersion, charge d’expulsion ou charge propulsive",1.2,,II,,0,E0,75,10,Forbidden
UN0010,"AMMUNITION, INCENDIARY with or without burster, expelling charge or propelling charge::MUNITIONS INCENDIAIRES avec ou sans charge de dispersion, charge d’expulsion ou charge propulsive","AMMUNITION, INCENDIARY with or without burster, expelling charge or propelling charge","MUNITIONS INCENDIAIRES avec ou sans charge de dispersion, charge d’expulsion ou charge propulsive",1.3,,II,,0,E0,,10,Forbidden
UN0012,"CARTRIDGES FOR WEAPONS, INERT PROJECTILE;
or
CARTRIDGES, SMALL ARMS::CARTOUCHES À PROJECTILE INERTE POUR ARMES;
ou
CARTOUCHES POUR ARMES DE PETIT CALIBRE","CARTRIDGES FOR WEAPONS, INERT PROJECTILE;
or
CARTRIDGES, SMALL ARMS","CARTOUCHES À PROJECTILE INERTE POUR ARMES;
ou
CARTOUCHES POUR ARMES DE PETIT CALIBRE",1.4,,II,125,25,E0,,,
UN0014,"CARTRIDGES FOR WEAPONS, BLANK;
CARTRIDGES, SMALL ARMS, BLANK;
or
CARTRIDGES FOR TOOLS, BLANK::CARTOUCHES À BLANC POUR ARMES;
CARTOUCHES À BLANC POUR ARMES DE PETIT CALIBRE;
ou
CARTOUCHES À BLANC POUR OUTILS","CARTRIDGES FOR WEAPONS, BLANK;
CARTRIDGES, SMALL ARMS, BLANK;
or
CARTRIDGES FOR TOOLS, BLANK","CARTOUCHES À BLANC POUR ARMES;
CARTOUCHES À BLANC POUR ARMES DE PETIT CALIBRE;
ou
CARTOUCHES À BLANC POUR OUTILS",1.4,,II,125,25,E0,,,
UN0015,"AMMUNITION, SMOKE with or without burster, expelling charge or propelling charge::MUNITIONS FUMIGÈNES avec ou sans charge de dispersion, charge d’expulsion ou charge propulsive","AMMUNITION, SMOKE with or without burster, expelling charge or propelling charge","MUNITIONS FUMIGÈNES avec ou sans charge de dispersion, charge d’expulsion ou charge propulsive",1.2,,II,,0,E0,75,,Forbidden
UN0016,"AMMUNITION, SMOKE with or without burster, expelling charge or propelling charge::MUNITIONS FUMIGÈNES avec ou sans charge de dispersion, charge d’expulsion ou charge propulsive","AMMUNITION, SMOKE with or without burster, expelling charge or propelling charge","MUNITIONS FUMIGÈNES avec ou sans charge de dispersion, charge d’expulsion ou charge propulsive",1.3,,II,,0,E0,,,Forbidden
